cdu,assunto
"349.2/.23","Processo do Trabalho (Autonomia)"
"349.2/.23(048)","Processo Trabalho (descrições bibliográficas)"
"349.2/.23(048.3)","Processo Trabalho (Resumo)"
"349.2/.23(410)","Processo Trabalho (Grã-Bretanha)"
"349.2/.23(430)","Processo Trabalho (Alemanha)"
"349.2/.23(450)","Processo Trabalho (Itália)"
"349.2/.23(460)","Processo Trabalho (Espanha)"
"349.2/.23(469)","Processo Trabalho (Portugal)"
"349.2/.23(72)","Processo Trabalho (México)"
"349.2/.23(73)","Processo Trabalho (Estados Unidos)"
"349.2/.23(81)","Processo Trabalho (Brasil)"
"349.2/.23(82)","Processo Trabalho (Argentina)"
"349.2/.3","Direito do trabalho"
"349.2/23(44)","Processo Trabalho (França)"
"349.2:331","Processo Trabalhista"
"349.2-029:17","Direito do trabalho - Ética moral"
"349.3","Processo Previdenciário"
"349.3:369","Direito Previdenciário"
"349.41","Direito Da terra"
"349.41","Direito Fundiário"
"349.42","Direito Agrário"
"349.42(81)","Direito Agrário (Brasil)"
"349.42:32","Política Agrária"
"349.6","Direito Ambiental"
"349.6(048.3)","Direito Ambiental (Resumo)"
"349.6(81)","Direito Ambiental (Brasil)"
"349.6(81)","Direito Ambiental Brasileiro"
"349.6(811.7)","Direito Ambiental (Tocantins)"
"349.6:316.334.5","Direito Ambiental (Sociologia dos Subsistivos Ecológicos)"
"349.6:32","Política Ambiental"
"349.6:330.15","Direito Ambiental (Fatores Naturais)"
"349.6:502.1","Direito Ambiental e Sociedade"
"349.6:502.17","Direito Ambiental (Proteção)"
"349.6:504","Direito Ambiental (Danos)"
"349+343.627","Direito (Leis de Proteção da Infância)"
"366.54","Consumidor (Política Governamental)"
"502:32","Meio Ambiente(Política Nacional)"
"504.1","Dano Ambiental (Direito)"
"572.027","Antropologia Política"
"572.5:343.93","Antropologia Jurídica"
